Time[s], vd1.8V
-4.99952665, 1
-0.00360136, 0
0.00000008, 1
0.03308159, 0
0.03582917, 1
0.06898918, 0
0.06931656, 1
0.10247022, 0
0.10321008, 1
0.13635551, 0
0.13997669, 1
0.17312331, 0
0.17331904, 1
0.20646525, 0
0.20938464, 1
0.24253233, 0
0.24379269, 1
0.27692645, 0
0.27714712, 1
0.31028022, 0
0.31881734, 1
0.35195627, 0
0.35290915, 1
0.38604761, 0
0.38627792, 1
0.41940793, 0
0.41968074, 1
0.45279445, 0
0.45302694, 1
0.48614909, 0
0.48917498, 1
0.52230320, 0
0.52260694, 1
0.55572004, 0
0.55735181, 1
0.59046568, 0
0.59378612, 1
0.62690072, 0
0.62709443, 1
0.66020992, 0
0.66714331, 1
0.70025768, 0
0.70076542, 1
0.73387982, 0
0.73599398, 1
0.76910817, 0
0.76931234, 1
0.80243976, 0
0.80275222, 1
0.83588019, 0
0.83649806, 1
0.86962672, 0
0.87056610, 1
0.90369426, 0
0.90542409, 1
0.93855171, 0
0.93873447, 1
0.97185828, 0
0.97205940, 1
1.00518399, 0
1.00652810, 1
1.03965111, 0
1.04150901, 1
1.07463222, 0
1.07482468, 1
1.10794731, 0
1.10816344, 1
1.14128620, 0
1.14152990, 1
1.17464264, 0
1.17483779, 1
1.20795143, 0
1.20815444, 1
1.24126851, 0
1.24145352, 1
1.27458091, 0
1.27788430, 1
1.31101244, 0
1.31120094, 1
1.34433020, 0
1.34452298, 1
1.37765132, 0
1.37784435, 1
1.41099061, 0
1.41116357, 1
1.44431052, 0
1.44456314, 1
1.47770876, 0
1.47789379, 1
1.51104001, 0
1.51123029, 1
1.54437730, 0
1.54718111, 1
1.58032646, 0
1.58052237, 1
1.61366850, 0
1.62074509, 1
1.65389049, 0
1.65407796, 1
1.68722376, 0
1.68895254, 1
1.72209851, 0
1.72411939, 1
1.75726609, 0
1.75745748, 1
1.79060362, 0
1.79209935, 1
1.82524511, 0
1.82543548, 1
1.85858097, 0
1.86011317, 1
1.89325898, 0
1.89826906, 1
1.93141462, 0
1.93176032, 1
1.96490576, 0
1.96584975, 1
1.99899513, 0
1.99922763, 1
2.03237447, 0
2.03324414, 1
2.06639032, 0
2.06759569, 1
2.10074147, 0
2.10095729, 1
2.13410298, 0
2.13541309, 1
2.16855945, 0
2.17072982, 1
2.20387591, 0
2.20464543, 1
2.23779746, 0
2.24052448, 1
2.27367532, 0
2.27387363, 1
2.30702512, 0
2.30720496, 1
2.34035647, 0
2.34335721, 1
3.49208578, 0
3.49841258, 1
3.53155830, 0
3.53174929, 1
3.56490332, 0
3.56688163, 1
3.60003752, 0
3.60289637, 1
3.63604825, 0
3.63623852, 1
3.66939105, 0
3.67363142, 1
3.70678301, 0
3.70785886, 1
3.74100455, 0
3.74118604, 1
3.77433202, 0
3.77610013, 1
3.80924566, 0
3.80943313, 1
3.84258181, 0
3.84700200, 1
3.88015032, 0
3.88059643, 1
3.91374253, 0
3.91618783, 1
3.94933433, 0
3.95103717, 1
3.98418295, 0
3.98516583, 1
4.01831187, 0
4.01988012, 1
4.05302677, 0
4.05321355, 1
4.08635999, 0
4.08657352, 1
4.11971890, 0
4.11990071, 1
4.15304756, 0
4.15326493, 1
4.18641080, 0
4.18807360, 1
4.22121927, 0
4.22281034, 1
4.25595835, 0
4.25625250, 1
4.28939820, 0
4.29553512, 1
4.32868116, 0
4.33168074, 1
4.36482692, 0
4.36504108, 1
4.39818875, 0
4.40027889, 1
4.43342532, 0
4.43365799, 1
4.46680370, 0
4.46701860, 1
4.50016515, 0
4.50199639, 1
4.53512555, 0
4.53531989, 1
4.56844955, 0
4.57024704, 1
4.60337502, 0
4.60428874, 1
4.63741778, 0
4.63764149, 1
4.67075622, 0
4.67099136, 1
4.70410599, 0
4.70431374, 1
4.73742776, 0
4.73915673, 1
4.77227080, 0
4.77448649, 1
4.80761012, 0
4.80785346, 1
4.84097672, 0
4.84118637, 1
4.87430945, 0
4.87450235, 1
4.90762551, 0
4.91173070, 1
4.94485308, 0
4.94652375, 1
4.97964757, 0
4.97994808, 1
5.01307654, 0
5.01328860, 1
5.04641945, 0
5.04724893, 1
5.08037736, 0
5.08058763, 1
5.11371631, 0
5.11791448, 1
5.15104221, 0
5.15126313, 1
5.18437735, 0
5.18457233, 1
5.21768578, 0
5.21793430, 1
5.25104753, 0
5.25124229, 1
5.28435537, 0
5.28455160, 1
5.31766557, 0
5.31823929, 1
5.35135286, 0
5.35257919, 1
5.38570787, 0
5.38591094, 1
5.41903316, 0
5.42147310, 1
5.45459634, 0
5.45496249, 1
5.48808716, 0
5.48827312, 1
5.52141343, 0
5.52166394, 1
5.55480319, 0
5.55501921, 1
5.58815018, 0
5.58997953, 1
5.62311156, 0
5.62333019, 1
5.65647571, 0
5.65668884, 1
5.68983991, 0
5.69663851, 1
5.72978426, 0
5.73003697, 1
5.76318657, 0
5.76343444, 1
5.79658410, 0
5.79858835, 1
5.83174814, 0
5.83201235, 1
5.86509081, 0
5.86664872, 1
7.00548746, 0
7.00570304, 1
7.03878545, 0
7.03896594, 1
7.07212553, 0
7.07640609, 1
7.10955950, 0
7.10976152, 1
7.14290755, 0
7.14604028, 1
7.17918662, 0
7.17939438, 1
7.21253960, 0
7.21283348, 1
7.24597902, 0
7.24700400, 1
7.28013601, 0
7.28034357, 1
7.31347605, 0
7.31372690, 1
7.34686553, 0
7.34707450, 1
7.38021320, 0
7.38048418, 1
7.41361331, 0
7.41719146, 1
7.45030496, 0
7.45053308, 1
7.48365572, 0
7.48407967, 1
7.51720811, 0
7.51807790, 1
7.55119155, 0
7.55144407, 1
7.58455880, 0
7.58477122, 1
7.61788571, 0
7.61835739, 1
7.65147199, 0
7.65167720, 1
7.68479115, 0
7.68529002, 1
7.71840396, 0
7.71861514, 1
7.75172995, 0
7.75196542, 1
7.78509377, 0
7.78532404, 1
7.81845293, 0
7.81865980, 1
7.85178785, 0
7.85257148, 1
7.88570013, 0
7.88715465, 1
7.92028427, 0
7.92047565, 1
7.95359825, 0
7.95520317, 1
7.98832656, 0
7.98852017, 1
8.02164263, 0
8.02182294, 1
8.05494618, 0
8.06151444, 1
8.09463787, 0
8.09489973, 1
8.12802415, 0
8.13272444, 1
8.16583887, 0
8.16686489, 1
8.19997994, 0
8.20015295, 1
8.23326693, 0
8.23540306, 1
8.26853082, 0
8.26873491, 1
8.30186472, 0
8.30256695, 1
8.33569718, 0
8.33593488, 1
8.36906478, 0
8.36930878, 1
8.40245658, 0
8.40268019, 1
8.43582797, 0
8.43607833, 1
8.46922593, 0
8.46944259, 1
8.50259128, 0
8.50284523, 1
8.53599328, 0
8.53619901, 1
8.56934686, 0
8.56960167, 1
8.60274909, 0
